Size_Class_Description,id,Street,Establishment_Name,Tel_No,Ward_Name,Mobile_No,ISICLev4,ISICLev4_Description,CPC_Description,CPC_Code,Year_Started,Postal_Address,District_Name,Manufacturing_Classification,Ownership_Description,Subsector,Region_Name,Zone_Name,Employment
Micro,1019,UMOJA ROAD,KISHE EDITH,765127211,Majengo,Missing,1410,"Manufacture of wearing apparel, except fur apparel","Panty hose, tights, stockings, socks and other hosiery, knitted or crocheted",28210,2012.0,Missing,Dodoma Mjini,Textile and Apparel,Private,Manufacturing,Dodoma,Central zone,2
Micro,1020,KARUME,KIWAHO GROUP,Missing,Hombolo,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,2010.0,1249,Dodoma Mjini,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,1021,TAMBUKA RELI,KIZA DEUSI,754415817,Mtanana,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,2014.0,Missing,Kongwa ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Small,1022,KIZOTA RELIWY,KIZOTA BAKERY,787838889,Kizota,Missing,1071,Manufacture of bakery products,"Crispbread; rusks, toasted bread and similar toasted products",23410,2008.0,116,Dodoma Mjini,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,10
Small,1023,MATHIAS,KK HARDWARE GENERAL SUPPLY,Missing,Miyuji,Missing,2395,"Manufacture of articles of concrete, cement and plaster","Paving blocks, bricks, tiles and other articles of pressed or moulded glass, of a kind used for building or construction purposes; leaded lights and the like; multicellular or foam glass in blocks, plates or similar forms",37117,2013.0,2801,Dodoma Mjini,Building and Construction Materials,Private,Manufacturing,Dodoma,Central zone,5
Micro,1024,KIWANJA CHA NDEGE,KKKT ARUSHA ROAD,Missing,Kiwanja cha Ndege,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,2002.0,138,Dodoma Mjini,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,1025,MAKOLE JUU,KKKT MILLS MACHINE,787781892,Chamkoroma,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,2010.0,43,Kongwa ,Agro-Processing,Public,Manufacturing,Dodoma,Central zone,2
Micro,1026,MAKOLE JUU,KKKT OIL PRESSING MACHINE,787781892,Chamkoroma,Missing,1040,Manufacture of vegetable and animal oils and fats,Vegetable and animal oil and fat manufacturing services,88140,2013.0,43,Kongwa ,Agro-Processing,Public,Manufacturing,Dodoma,Central zone,2
Micro,1027,HEMBAHEMBA,KOBELO MDAM MILLING MACHINE,652949488,Njoge,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,2013.0,63,Kongwa ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Small,1028,CHEMCHEM,KONDOA URBAN WATER SUPPLY &SANITATION AU,Missing,Chemchem,Missing,3600,"Water collection, treatment and supply","Water distribution through mains, except steam and hot water (on own account)",69210,2003.0,Missing,Kondoa ,"Water supply, sewage, waste management and remediation activities",Public,"Water supply, sewage, waste management and remediation activities",Dodoma,Central zone,10
Small,1029,CHEMCHEM,KONDOA URBAN WATER SUPPLY AUTHORITY (KUWASA),Missing,Chemchem,Missing,3600,"Water collection, treatment and supply","Water distribution through mains, except steam and hot water (on own account)",69210,2006.0,85,Kondoa ,"Water supply, sewage, waste management and remediation activities",Public,"Water supply, sewage, waste management and remediation activities",Dodoma,Central zone,10
Micro,1030,MATHIAS,KONGORO SUPER SEMBE,762212765,Miyuji,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,2012.0,2993,Dodoma Mjini,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Small,1031,KONGWA FOOD TRADERS,KONGWA FOOD TRADERS,Missing,Kibaigwa,Missing,1040,Manufacture of vegetable and animal oils and fats,Vegetable and animal oil and fat manufacturing services,88140,2015.0,Missing,Kongwa ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,10
Small,1032,KIGAIGWA,KONGWA FOOD TRADERS LTD,Missing,Kibaigwa,Missing,1040,Manufacture of vegetable and animal oils and fats,Vegetable and animal oil and fat manufacturing services,88140,2015.0,Missing,Kongwa ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,10
Micro,1033,MNYAKONGO,KONGWA FRIARY CARPENTRY WORKS,784508646,Kongwa,Missing,1610,Sawmilling and planing of wood,Logs of coniferous wood,3110,2011.0,37,Kongwa ,Wood and Woods Products,Private,Manufacturing,Dodoma,Central zone,2
Micro,1034,MNYAKONGO,KONGWA FRIARY MILLING MACHINE,754768080,Kongwa,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,1985.0,37,Kongwa ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,1035,MNYAKONGO,KONGWA FRIARY PRESSING MACHINE,757692949,Kongwa,Missing,1040,Manufacture of vegetable and animal oils and fats,Vegetable and animal oil and fat manufacturing services,88140,2013.0,37,Kongwa ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Small,1036,KARUME,KONGWA SUN FLOWER,767098229,Kibaigwa,Missing,1040,Manufacture of vegetable and animal oils and fats,Vegetable and animal oil and fat manufacturing services,88140,2005.0,80,Kongwa ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,5
Small,1037,MNYAKONGO,KONGWA URBAN WATER SUPPLY AND SANITATION,Missing,Kongwa,Missing,3600,"Water collection, treatment and supply","Water distribution through mains, except steam and hot water (on own account)",69210,2004.0,Missing,Kongwa ,"Water supply, sewage, waste management and remediation activities",Public,"Water supply, sewage, waste management and remediation activities",Dodoma,Central zone,10
