Size_Class_Description,id,Street,Establishment_Name,Tel_No,Ward_Name,Mobile_No,ISICLev4,ISICLev4_Description,CPC_Description,CPC_Code,Year_Started,Postal_Address,District_Name,Manufacturing_Classification,Ownership_Description,Subsector,Region_Name,Zone_Name,Employment
Micro,1,MADUKANI,ABAS KISEKU,Missing,Churuku,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,2013.0,180,Chemba ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,2,POLISI,ABAS SALUMU HUSEIN,Missing,Mrijo,Missing,2592,Treatment and coating of metals; machining,Metal treatment and coating services,88731,2014.0,830,Chemba ,Metal and Metal Products,Private,Manufacturing,Dodoma,Central zone,2
Micro,3,CHANG'OMBE B,ABASI IDDI HUNGU,Missing,Mrijo,Missing,2821,Manufacture of agricultural and forestry machinery,Self-loading or self-unloading trailers and semi-trailers for agricultural purposes,44160,2013.0,174,Chemba ,Assembly,Private,Manufacturing,Dodoma,Central zone,2
Micro,4,BWAWANI,ABBAS KHAMISI ATHUMAN,Missing,Kimaha,Missing,1410,"Manufacture of wearing apparel, except fur apparel","Panty hose, tights, stockings, socks and other hosiery, knitted or crocheted",28210,2012.0,11,Chemba ,Textile and Apparel,Private,Manufacturing,Dodoma,Central zone,2
Micro,5,RELINI,ABC GARAGE,Missing,Kizota,Missing,2592,Treatment and coating of metals; machining,Metal treatment and coating services,88731,2002.0,8635,Dodoma Mjini,Metal and Metal Products,Private,Manufacturing,Dodoma,Central zone,2
Micro,6,MISHENI,ABDALA JUMA ABDALA,754514631,Mtanana,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,2001.0,Missing,Kongwa ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,7,BAHI MISSION,ABDALAH AHMED MABROK,Missing,Bahi,Missing,2592,Treatment and coating of metals; machining,Metal treatment and coating services,88731,2013.0,Missing,Bahi ,Metal and Metal Products,Private,Manufacturing,Dodoma,Central zone,2
Micro,8,KAMBARAGE,ABDALAH MIRAJI,782924416,Mkoka,Missing,1040,Manufacture of vegetable and animal oils and fats,Vegetable and animal oil and fat manufacturing services,88140,2011.0,77,Kongwa ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,9,MIDUWANI,ABDALAH MOHAMED OIL PRESSING,Missing,Busi,Missing,1040,Manufacture of vegetable and animal oils and fats,Vegetable and animal oil and fat manufacturing services,88140,2013.0,Missing,Kondoa ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,10,MAJENGO,ABDALARAMADHANI NGOZI,787278343,Masange,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,2009.0,6,Kondoa ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,11,HAMVU,ABDALLA JUMA ABDALLA,Missing,Chang'ombe,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,2009.0,2852,Dodoma Mjini,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,12,NYERERE,ABDALLAH ABRI,787699000,Mpunguzi,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,2007.0,Missing,Dodoma Mjini,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,13,IKUKA,ABDALLAH ITUJA MILLS,788994444,Massa,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,2011.0,Missing,Mpwapwa ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,14,MASSA,ABDALLAH ITUJAH MILLS,788994444,Massa,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,2012.0,Missing,Mpwapwa ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,15,CHAMWINO,ABDALLAH JUMA ABDALLAH,754353166,Hogoro,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,2013.0,Missing,Kongwa ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,16,NYERERE,ABDALLAH MSHAMU,685185548,Mpunguzi,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,2003.0,Missing,Dodoma Mjini,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,17,MSUFINI,ABDI ASLUM MEENA,Missing,Mrijo,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,2008.0,830,Chemba ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,18,NJOONI MUONE,ABDI HASSANI MAINGU,Missing,Dalai,Missing,1410,"Manufacture of wearing apparel, except fur apparel","Panty hose, tights, stockings, socks and other hosiery, knitted or crocheted",28210,2003.0,82,Chemba ,Textile and Apparel,Private,Manufacturing,Dodoma,Central zone,2
Micro,19,MISUFINI,ABDI SALUM (JUMA MCHAGA),Missing,Mrijo,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,2002.0,174,Chemba ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,20,MAHONGO KATI,ABDILAH IJUMAA ISSA,784781622,Bumbuta,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,2010.0,451,Kondoa ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,21,MNARANI,ABDILAH RACHA,654433525,Kondoa Mjini,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,1994.0,Missing,Kondoa ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,22,ILOLWI,ABDISAMADU KHAMISI BASAMU,Missing,Dalai,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,2007.0,82,Chemba ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Small,23,POLISI,ABDULAHIMAN IDDI HUNGU,Missing,Mrijo,Missing,2821,Manufacture of agricultural and forestry machinery,Self-loading or self-unloading trailers and semi-trailers for agricultural purposes,44160,2005.0,174,Chemba ,Assembly,Private,Manufacturing,Dodoma,Central zone,5
Micro,24,PAHI MAGHARIBI,ABDULKARIMU MOHAMED NGULA,Missing,Pahi,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,2002.0,Missing,Kondoa ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,25,UMOJA,ABED ATHUMAN,Missing,Majengo,Missing,2592,Treatment and coating of metals; machining,Metal treatment and coating services,88731,2007.0,Missing,Dodoma Mjini,Metal and Metal Products,Private,Manufacturing,Dodoma,Central zone,2
Micro,26,IKOVO,ABEID IDD ABEID,688960132,Pahi,Missing,1040,Manufacture of vegetable and animal oils and fats,Vegetable and animal oil and fat manufacturing services,88140,2013.0,Missing,Kondoa ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,27,MAGANDI,ABIBU YUSUFU FAITH,Missing,Chandama,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,2008.0,Missing,Chemba ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Small,28,ELBON,ABILAHI HUSEIN,Missing,Chemchem,Missing,3100,Manufacture of furniture,"Other wooden furniture, of a kind used in offices",38122,2013.0,Missing,Kondoa ,Wood and Woods Products,Private,Manufacturing,Dodoma,Central zone,5
Micro,29,MAKAWA,ABINERI FUNGENI,789688949,Makawa,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,2013.0,136,Kongwa ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,30,MAHONGO KATI,ABOUBAKARI SELEMANI KIDESU OIL MILLS,Missing,Bumbuta,Missing,1040,Manufacture of vegetable and animal oils and fats,Vegetable and animal oil and fat manufacturing services,88140,2011.0,Missing,Kondoa ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,31,KAWAWA,ABUBAKARI HINTO,787977507,Mpunguzi,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,2013.0,Missing,Dodoma Mjini,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,32,KITONGOJI A,ABUBAKARI HUSEIN MCHANA,Missing,Churuku,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,2013.0,180,Chemba ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,33,KWA MSAMI,ABUSHEE GORONYA HAMISI,Missing,Churuku,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,2012.0,180,Chemba ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,34,KANDAMIZA,ABUSHIRI SALIMU LWAYO,Missing,Mrijo,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,2013.0,830,Chemba ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,35,MNARANI,ABUTWALIBU JUMA ABDALA,Missing,Kondoa Mjini,Missing,2592,Treatment and coating of metals; machining,Metal treatment and coating services,88731,2014.0,Missing,Kondoa ,Metal and Metal Products,Private,Manufacturing,Dodoma,Central zone,2
Micro,36,KISOKWE,ABUU MILLING MACHINE,654736873,Mazae,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,2012.0,Missing,Mpwapwa ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,37,MAJI YA SHAMBA,ABUU RAJAB MWISE,782214544,Kondoa Mjini,Missing,1040,Manufacture of vegetable and animal oils and fats,Vegetable and animal oil and fat manufacturing services,88140,2014.0,Missing,Kondoa ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,38,BWAWANI B,ADAM NDALO,754352586,Hombolo,Missing,3100,Manufacture of furniture,"Other wooden furniture, of a kind used in offices",38122,2006.0,607,Dodoma Mjini,Wood and Woods Products,Private,Manufacturing,Dodoma,Central zone,2
Micro,39,SABASABA,ADAM NYATUNYI,756508559,Viwandani,Missing,1410,"Manufacture of wearing apparel, except fur apparel","Panty hose, tights, stockings, socks and other hosiery, knitted or crocheted",28210,2012.0,Missing,Dodoma Mjini,Textile and Apparel,Private,Manufacturing,Dodoma,Central zone,2
Micro,40,KWA MSAMI,ADAM SAIDI KIJUU,Missing,Churuku,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,2012.0,180,Chemba ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,41,STAND YA ZAMANI,ADAMU MOHAMED KILANGO,Missing,Mpwapwa Mjini,Missing,1410,"Manufacture of wearing apparel, except fur apparel","Panty hose, tights, stockings, socks and other hosiery, knitted or crocheted",28210,1997.0,301,Mpwapwa ,Textile and Apparel,Private,Manufacturing,Dodoma,Central zone,2
Micro,42,CHANGOMBE,ADAMU TALAKA,Missing,Kimaha,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,2012.0,312,Chemba ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,43,KATI,ADINAN RASHID BARAZA (KANALI),Missing,Lumuma,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,2009.0,297,Mpwapwa ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,44,KARUME,ADIWANI RAMADHANI OIL MILL,784681671,Kibaigwa,Missing,1040,Manufacture of vegetable and animal oils and fats,Vegetable and animal oil and fat manufacturing services,88140,2014.0,Missing,Kongwa ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,45,KARUME,ADOL PHINA NGONYANI,Missing,Mnadani,Missing,1392,"Manufacture of made-up textile articles, except apparel",Worn clothing and other worn textile articles,39217,2014.0,Missing,Dodoma Mjini,Textile and Apparel,Private,Manufacturing,Dodoma,Central zone,2
Micro,46,BWAWANI,ADOLF ABDI SAID,752146467,Kibaigwa,Missing,1040,Manufacture of vegetable and animal oils and fats,Vegetable and animal oil and fat manufacturing services,88140,2013.0,Missing,Kongwa ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Small,47,BWAWANI,ADOLF ABDI SAID,Missing,Kibaigwa,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,2010.0,Missing,Kongwa ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,10
Small,48,BWAWANI,ADOLF SAID ABDI JUMA,Missing,Kibaigwa,Missing,1030,Processing and preserving of fruit and vegetables,Other cereal grain products (including corn flakes),23140,2007.0,Missing,Kongwa ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,10
Small,49,BWAWANI,ADOLF SAID ABDI JUMA,Missing,Kibaigwa,Missing,1040,Manufacture of vegetable and animal oils and fats,Vegetable and animal oil and fat manufacturing services,88140,2012.0,Missing,Kongwa ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,10
Micro,50,KAWAWA,ADOLF TAILO,785631390,Segala,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,2008.0,Missing,Chamwino ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,51,MLIMAGA,ADRER LENJIMA,765176889,Sejeli,Missing,1410,"Manufacture of wearing apparel, except fur apparel","Panty hose, tights, stockings, socks and other hosiery, knitted or crocheted",28210,2013.0,Missing,Kongwa ,Textile and Apparel,Private,Manufacturing,Dodoma,Central zone,2
Micro,52,JAMHURI,ADRIAKO JOSEPH KISWILI CARPENTRY,762623293,Chipogoro,Missing,3100,Manufacture of furniture,"Other wooden furniture, of a kind used in offices",38122,2010.0,23,Mpwapwa ,Wood and Woods Products,Private,Manufacturing,Dodoma,Central zone,2
Micro,53,ILOLO,ADRIAN MBILINYI,784601131,Mpwapwa Mjini,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,2012.0,202,Mpwapwa ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,54,KISOKWE,ADRIAN MSIGALA TELEMKA,Missing,Mazae,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,2008.0,48,Mpwapwa ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,55,SOSOLEKA,ADRIAN WLLIAM NYAGAUYA,Missing,Mazae,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,2011.0,Missing,Mpwapwa ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,56,SWASAWA,ADROFU SHAYO,759173540,Ipagala,Missing,2395,"Manufacture of articles of concrete, cement and plaster","Paving blocks, bricks, tiles and other articles of pressed or moulded glass, of a kind used for building or construction purposes; leaded lights and the like; multicellular or foam glass in blocks, plates or similar forms",37117,2013.0,Missing,Dodoma Mjini,Building and Construction Materials,Private,Manufacturing,Dodoma,Central zone,2
Small,57,NYERERE A,AFRED PETRO LUNGWA,Missing,Makang'wa,Missing,2592,Treatment and coating of metals; machining,Metal treatment and coating services,88731,2014.0,Missing,Chamwino ,Metal and Metal Products,Private,Manufacturing,Dodoma,Central zone,5
Micro,58,IKONGOLA,AGAPITA ANACLET MKADA MILLS,Missing,Kibakwe,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,2011.0,Missing,Mpwapwa ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,59,KATI'A',AGATHA DAUDI MOGWA,Missing,Mvumi Mission,Missing,1399,Manufacture of other textiles n.e.c.,Other textile manufacturing services n.e.c.,88219,2014.0,23,Chamwino ,Textile and Apparel,Private,Manufacturing,Dodoma,Central zone,2
Micro,60,MLIMWA/AREA O,AGNETA EDWARD,784720317,Kiwanja cha Ndege,Missing,1410,"Manufacture of wearing apparel, except fur apparel","Panty hose, tights, stockings, socks and other hosiery, knitted or crocheted",28210,2011.0,Missing,Dodoma Mjini,Textile and Apparel,Private,Manufacturing,Dodoma,Central zone,2
Micro,61,HAZINA,AGNETA MASEKO,762898961,Hazina,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,2000.0,2149,Dodoma Mjini,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,62,Missing,AGREY CHILLEWA,Missing,Mwitikira,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,2012.0,2993,Bahi ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Small,63,UZUNGUNI,AGRO DODOMA LTD,787978285,Makutupora,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,2009.0,2971,Dodoma Mjini,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,5
Small,64,MAILI MBILI,AGU CONCRETE DESIGNERS,767437266,Chamwino,784437266,2395,"Manufacture of articles of concrete, cement and plaster","Paving blocks, bricks, tiles and other articles of pressed or moulded glass, of a kind used for building or construction purposes; leaded lights and the like; multicellular or foam glass in blocks, plates or similar forms",37117,2009.0,222,Dodoma Mjini,Building and Construction Materials,Private,Manufacturing,Dodoma,Central zone,10
Micro,65,BARUTI/AIRPORT,AHMAD KIDOGO,Missing,Viwandani,Missing,2599,Manufacture of other fabricated metal products n.e.c.,Other fabricated metal product manufacturing services n.e.c.,88739,2014.0,Missing,Dodoma Mjini,Metal and Metal Products,Private,Manufacturing,Dodoma,Central zone,2
Micro,66,NYERERE,AHMED AWADH,786064863,Mpunguzi,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,2012.0,1249,Dodoma Mjini,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,67,SOKOINE,AHMED NGOYI MASHINE,752351532,Buigiri,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,2008.0,Missing,Chamwino ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,68,MWONGOZO,AINEA A. MESSO,Missing,Songambele,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,2013.0,120,Kongwa ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,69,MNARANI,AISHA KAITA,681333133,Kondoa Mjini,Missing,1410,"Manufacture of wearing apparel, except fur apparel","Panty hose, tights, stockings, socks and other hosiery, knitted or crocheted",28210,2014.0,Missing,Kondoa ,Textile and Apparel,Private,Manufacturing,Dodoma,Central zone,2
Micro,70,NYERERE,AISHA MOHAMED TAILORING,717133503,Ntyuka,Missing,1410,"Manufacture of wearing apparel, except fur apparel","Panty hose, tights, stockings, socks and other hosiery, knitted or crocheted",28210,2012.0,49,Dodoma Mjini,Textile and Apparel,Private,Manufacturing,Dodoma,Central zone,2
Micro,71,NKUHUNGU SALAMA,AKSA EMONYO MGANGA,Missing,Kizota,Missing,1399,Manufacture of other textiles n.e.c.,Other textile manufacturing services n.e.c.,88219,2014.0,Missing,Dodoma Mjini,Textile and Apparel,Private,Manufacturing,Dodoma,Central zone,2
Micro,72,AREA A (KIZOTA),AL JUDI AGRO PROGESSOR,754923669,Kizota,Missing,1040,Manufacture of vegetable and animal oils and fats,Vegetable and animal oil and fat manufacturing services,88140,2009.0,2674,Dodoma Mjini,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Small,73,MNARANI,ALAWADH BAKERY,782600370,Kondoa Mjini,Missing,1071,Manufacture of bakery products,"Crispbread; rusks, toasted bread and similar toasted products",23410,2012.0,197,Kondoa ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,5
Micro,74,BARABARA YA 6,ALBERT MACHAKA,755261621,Uhuru,Missing,1410,"Manufacture of wearing apparel, except fur apparel","Panty hose, tights, stockings, socks and other hosiery, knitted or crocheted",28210,2014.0,Missing,Dodoma Mjini,Textile and Apparel,Private,Manufacturing,Dodoma,Central zone,2
Micro,75,MAJENGO,ALBERT RAIS KAYAULA,786819584,Ipera,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,2012.0,208,Mpwapwa ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,76,ILINGO,ALBETO ANDRIAN MSIGALLA,Missing,Chunyu,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,2010.0,12,Mpwapwa ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,77,MHINDINI,ALDO FAUSTINE MWIKOLA,0765 508380,Mpwapwa Mjini,0765 508380,3100,Manufacture of furniture,"Other wooden furniture, of a kind used in offices",38122,1998.0,124,Mpwapwa ,Wood and Woods Products,Private,Manufacturing,Dodoma,Central zone,2
Micro,78,STAND YA ZAMANI,ALEX ELIAS MZELINGWA,654296134,Mpwapwa Mjini,Missing,1410,"Manufacture of wearing apparel, except fur apparel","Panty hose, tights, stockings, socks and other hosiery, knitted or crocheted",28210,2013.0,Missing,Mpwapwa ,Textile and Apparel,Private,Manufacturing,Dodoma,Central zone,2
Micro,79,GHALANI 'B',ALEX ELIAZER LYAKUSASA,Missing,Luhundwa,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,2013.0,Missing,Mpwapwa ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,80,KARUME (SOKOINE),ALEX ISAYA MLAY MILLING MACHINE,712591968,Kibaigwa,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,2012.0,Missing,Kongwa ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,81,CHANG'OMBE JUU,ALEX JOHN,Missing,Chang'ombe,Missing,2592,Treatment and coating of metals; machining,Metal treatment and coating services,88731,2008.0,3229,Dodoma Mjini,Metal and Metal Products,Private,Manufacturing,Dodoma,Central zone,2
Micro,82,FARU,ALEX LUKUMAI MILLS,713151959,Majengo,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,2002.0,Missing,Dodoma Mjini,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,83,MTAKUJA,ALEX MSAFIRI,784994624,Itiso,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,2012.0,1126,Chamwino ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,84,NYERERE A,ALEX MUSSA CHIVYO,767003705,Kibaigwa,Missing,1410,"Manufacture of wearing apparel, except fur apparel","Panty hose, tights, stockings, socks and other hosiery, knitted or crocheted",28210,2005.0,Missing,Kongwa ,Textile and Apparel,Private,Manufacturing,Dodoma,Central zone,2
Micro,85,KIKUYU,ALEX NYINGE,874538381,Kikuyu Kaskazini,Missing,3100,Manufacture of furniture,"Other wooden furniture, of a kind used in offices",38122,2011.0,Missing,Dodoma Mjini,Wood and Woods Products,Private,Manufacturing,Dodoma,Central zone,2
Micro,86,MAZENGO,ALFA UGUZI,Missing,Hombolo,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,2013.0,Missing,Dodoma Mjini,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,87,CHINOSE,ALFRED ANORD LUHEMBE,Missing,Mtera,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,2013.0,4401,Mpwapwa ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,88,KIKUYU MISHENI,ALFRED FODOGO,755443241,Kikuyu Kaskazini,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,2006.0,3097,Dodoma Mjini,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,89,AZIMIO,ALFRED MUSSA NDEJEULAYA,682727896,Chipogoro,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,2013.0,4401,Mpwapwa ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,90,MAKAWA,ALHA YOHANA,687051828,Makawa,Missing,1040,Manufacture of vegetable and animal oils and fats,Vegetable and animal oil and fat manufacturing services,88140,2013.0,136,Kongwa ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Small,91,CENTRAL BUSINESS PARK,ALKO VINTAGES CO LTD,Missing,Tambukareli,Missing,1102,Manufacture of wines,"Wine of fresh grapes, except sparkling wine; grape must",24212,1996.0,Missing,Dodoma Mjini,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,20
Small,92,CENTRA BUSINESS PARK,ALKO VINTAGES CO. LTD,Missing,Tambukareli,Missing,1102,Manufacture of wines,"Wine of fresh grapes, except sparkling wine; grape must",24212,2007.0,154,Dodoma Mjini,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,5
Small,93,Missing,ALKO VINTAGES CO.LTD,754267811,Tambukareli,Missing,1102,Manufacture of wines,"Wine of fresh grapes, except sparkling wine; grape must",24212,1996.0,Missing,Dodoma Mjini,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,20
Micro,94,ISANGHA,ALLAN MGONDE,788567309,Songambele,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,2002.0,81,Kongwa ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,95,Missing,ALLEN UHUGILE MILLS,784490693,Lupeta,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,2013.0,Missing,Mpwapwa ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,96,KINYONGA,ALLUN SEAT COVER,Missing,Uhuru,Missing,2219,Manufacture of other rubber products,"Unvulcanized compounded rubber, in primary forms or in plates, sheets or strip; unvulcanized rubber in forms other than primary forms or plates, sheets or strip (except ""camel-back"" strips for retreading rubber tyres); articles of unvulcanized rubber; thread, cord, plates, sheets, strip, rods and profile shapes, of vulcanized rubber other than hard rubber",36220,2002.0,Missing,Dodoma Mjini,Chemical and Petrochemicals Products,Private,Manufacturing,Dodoma,Central zone,2
Micro,97,MSASANI,ALLY ABDALLAH SAUGE,686287806,Malolo,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,2013.0,Missing,Mpwapwa ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,98,MAGANDI,ALLY HASSAN,Missing,Chandama,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,2008.0,Missing,Chemba ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,99,UKOMBOZI,ALLY HUSSEIN,Missing,Buigiri,Missing,2592,Treatment and coating of metals; machining,Metal treatment and coating services,88731,2013.0,Missing,Chamwino ,Metal and Metal Products,Private,Manufacturing,Dodoma,Central zone,2
Micro,100,CHANG'OMBE JUU,ALLY ISSA RASHID,Missing,Chang'ombe,Missing,2592,Treatment and coating of metals; machining,Metal treatment and coating services,88731,2013.0,Missing,Dodoma Mjini,Metal and Metal Products,Private,Manufacturing,Dodoma,Central zone,2
Small,101,BEREKO MJINI,ALLY JUMA MSALU,682244450,Bereko,Missing,3100,Manufacture of furniture,"Other wooden furniture, of a kind used in offices",38122,1996.0,69,Kondoa ,Wood and Woods Products,Private,Manufacturing,Dodoma,Central zone,5
Micro,102,MAGHARIBI OFISI,ALLY JUMA RASHID,Missing,Paranga,Missing,1040,Manufacture of vegetable and animal oils and fats,Vegetable and animal oil and fat manufacturing services,88140,2009.0,830,Chemba ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
Micro,103,MLEZI,ALLY KITUMBIKA,759469179,Hazina,Missing,3100,Manufacture of furniture,"Other wooden furniture, of a kind used in offices",38122,1988.0,3530,Dodoma Mjini,Wood and Woods Products,Private,Manufacturing,Dodoma,Central zone,2
Micro,104,MABALANGU,ALLY MADEBE,712036635,Ving'hawe,Missing,1061,Manufacture of grain mill products,Other cereal grain products (including corn flakes),23140,1990.0,12,Mpwapwa ,Agro-Processing,Private,Manufacturing,Dodoma,Central zone,2
